_date,total_views,unique_views
2021-09-29,1,1
2021-10-01,20,3
2021-10-02,8,1
2021-10-04,23,6
2021-10-05,50,6
2021-10-06,1,1
2021-10-07,2,2
2021-10-08,5,2
2021-10-09,2,2
2021-10-10,4,1
2021-10-11,16,4
2021-10-14,1,1
2021-10-15,4,1
2021-10-18,8,5
2021-10-19,81,3
2021-10-21,61,4
2021-10-22,32,5
2021-10-23,28,3
2021-10-24,14,2
2021-10-25,50,4
2021-10-26,21,2
2021-10-27,24,3
2021-10-28,6,3
2021-10-29,61,9
2021-10-30,4,1
2021-10-31,1,1
2021-11-01,7,5
2021-11-03,3,3
2021-11-04,17,1
2021-11-05,2,2
2021-11-06,1,1
2021-11-07,3,3
2021-11-08,9,3
2021-11-09,21,5
2021-11-10,18,3
2021-11-12,59,5
2021-11-13,6,2
2021-11-15,6,3
2021-11-16,19,6
2021-11-17,12,4
2021-11-18,1,1
2021-11-19,23,6
2021-11-20,2,2
2021-11-21,2,2
2021-11-22,6,5
2021-11-23,1,1
2021-11-24,10,6
2021-11-25,18,5
2021-11-27,3,2
2021-11-28,2,2
2021-11-29,2,2
2021-11-30,6,5
2021-12-01,9,4
2021-12-02,4,4
2021-12-03,6,1
2021-12-04,4,2
2021-12-05,4,2
2021-12-06,2,2
2021-12-07,2,1
2021-12-08,4,3
2021-12-09,3,3
2021-12-10,10,5
2021-12-11,33,3
2021-12-12,39,3
2021-12-13,12,4
2021-12-14,2,2
2021-12-15,7,5
2021-12-16,4,4
2021-12-17,37,2
2021-12-18,3,3
2021-12-20,2,2
2021-12-21,4,4
2021-12-22,6,3
2021-12-23,3,2
2021-12-24,1,1
2021-12-25,7,1
2021-12-27,8,4
2021-12-28,1,1
2021-12-29,1,1
2021-12-30,5,4
2021-12-31,3,3
2022-01-01,2,2
2022-01-03,3,3
2022-01-04,5,4
2022-01-06,4,3
2022-01-08,1,1
2022-01-09,1,1
2022-01-10,3,2
2022-01-11,3,2
2022-01-13,5,5
2022-01-14,1,1
2022-01-17,1,1
2022-01-18,3,2
2022-01-20,22,4
2022-01-21,28,2
2022-01-22,1,1
2022-01-24,4,4
2022-01-25,5,5
2022-01-26,1,1
2022-01-27,3,2
2022-01-28,3,2
2022-01-29,14,1
2022-01-30,3,1
2022-01-31,3,1
2022-02-01,2,2
2022-02-02,9,4
2022-02-03,25,2
2022-02-04,8,2
2022-02-05,2,2
2022-02-06,22,2
2022-02-07,42,3
2022-02-08,4,3
2022-02-09,6,4
2022-02-11,4,3
2022-02-12,2,2
2022-02-14,7,3
2022-02-15,6,3
2022-02-16,65,4
2022-02-17,73,1
2022-02-18,9,2
2022-02-19,1,1
2022-02-20,2,2
2022-02-21,6,4
2022-02-22,30,4
2022-02-23,3,2
2022-02-24,15,2
2022-02-25,3,2
2022-02-26,11,4
2022-02-28,4,4
2022-03-01,2,2
2022-03-02,24,4
2022-03-03,11,3
2022-03-05,8,1
2022-03-07,9,3
2022-03-08,40,1
2022-03-09,3,3
2022-03-11,24,1
2022-03-12,1,1
2022-03-13,10,3
2022-03-14,37,4
2022-03-15,11,5
2022-03-16,8,1
2022-03-17,20,3
2022-03-18,7,2
2022-03-20,7,4
2022-03-21,9,5
2022-03-22,3,3
2022-03-23,3,2
2022-03-24,2,2
2022-03-25,3,3
2022-03-27,1,1
2022-03-28,6,5
2022-03-29,1,1
2022-03-30,3,3
2022-03-31,2,2
2022-04-01,6,2
2022-04-02,2,1
2022-04-03,27,1
2022-04-04,3,1
2022-04-05,7,3
2022-04-06,3,2
2022-04-07,12,3
2022-04-08,2,1
2022-04-09,14,2
2022-04-10,11,4
2022-04-11,6,2
2022-04-12,2,2
2022-04-13,2,1
2022-04-14,1,1
2022-04-15,3,3
2022-04-16,2,1
2022-04-17,6,1
2022-04-18,4,3
2022-04-19,3,2
2022-04-20,5,2
2022-04-21,6,5
2022-04-23,18,1
2022-04-24,3,2
2022-04-25,20,2
2022-04-26,40,3
2022-04-27,23,2
2022-04-28,17,3
2022-04-30,13,2
2022-05-01,5,2
2022-05-02,21,2
2022-05-03,17,4
2022-05-04,26,1
2022-05-05,68,2
2022-05-06,3,1
2022-05-07,3,2
2022-05-08,1,1
2022-05-10,2,2
2022-05-11,70,4
2022-05-12,76,3
2022-05-14,1,1
2022-05-15,1,1
2022-05-17,10,2
2022-05-18,5,4
2022-05-19,21,3
2022-05-20,8,6
2022-05-21,2,2
2022-05-22,6,2
2022-05-24,3,3
2022-05-25,1,1
2022-05-26,4,2
